Video Id, Channel Id, Title, Tags, Description, Privacy, Date Published, Category Id, Category Name, Thumbnail Url, Watch Url, FileName, Date Backed Up, View Count, Comment Count, Like Count, Dislike Count, Length (seconds)
"ad-GXe5J9RE","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 08 List of Tuples","comprehensive python workshop,python lambda functions,python using jupyter lab,python using jupyter,python,python collections,python tutorial,python workshop,python for java professionals,database operations using python,python hands on,python using jupyter notebook,python for freshers,python for beginners","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/ad-GXe5J9RE/maxresdefault.jpg","https://www.youtube.com/watch?v=ad-GXe5J9RE","08 List of Tuples.mp4","2020-12-26","67","0","0","0","691"
"pxwPEnLsKvU","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 09 List of dicts","python for freshers,python collections,python for java professionals,python hands on,python using jupyter lab,python lambda functions,python using jupyter notebook,python for beginners,python tutorial,python workshop,python using jupyter,python,comprehensive python workshop,database operations using python","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/pxwPEnLsKvU/maxresdefault.jpg","https://www.youtube.com/watch?v=pxwPEnLsKvU","09 List of dicts.mp4","2020-12-26","31","0","0","0","489"
"EVp-skflxO4","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 06 Manipulating dict","python for beginners,python tutorial,python workshop,python lambda functions,comprehensive python workshop,python for freshers,python collections,python for java professionals,python,python using jupyter,python using jupyter notebook,python hands on,python using jupyter lab,database operations using python","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/EVp-skflxO4/maxresdefault.jpg","https://www.youtube.com/watch?v=EVp-skflxO4","06 Manipulating dict.mp4","2020-12-26","18","0","0","0","653"
"-XmkPihHHhA","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 07 Common Examples   dict","python using jupyter notebook,python workshop,python lambda functions,python hands on,python using jupyter,python collections,python using jupyter lab,database operations using python,python,python for freshers,python tutorial,python for java professionals,python for beginners,comprehensive python workshop","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/-XmkPihHHhA/maxresdefault.jpg","https://www.youtube.com/watch?v=-XmkPihHHhA","07 Common Examples - dict.mp4","2020-12-26","11","0","0","0","273"
"fZ-QOUk-ia4","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 05 Accessing Elements   tuples","python using jupyter notebook,comprehensive python workshop,python collections,python,database operations using python,python workshop,python tutorial,python for java professionals,python using jupyter,python for freshers,python lambda functions,python for beginners,python using jupyter lab,python hands on","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/fZ-QOUk-ia4/maxresdefault.jpg","https://www.youtube.com/watch?v=fZ-QOUk-ia4","05 Accessing Elements - tuples.mp4","2020-12-26","11","0","0","0","202"
"FpxL1G8ktOk","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 04 Accessing Elements   dict","python,comprehensive python workshop,python using jupyter notebook,database operations using python,python hands on,python for freshers,python using jupyter lab,python using jupyter,python for beginners,python workshop,python tutorial,python for java professionals,python collections,python lambda functions","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/FpxL1G8ktOk/maxresdefault.jpg","https://www.youtube.com/watch?v=FpxL1G8ktOk","04 Accessing Elements - dict.mp4","2020-12-26","55","0","2","0","341"
"Cc_zWN2u6F8","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 03 Common Operations   dict and tuple","python collections,python lambda functions,python for beginners,python workshop,python using jupyter,python hands on,python tutorial,python using jupyter lab,python for freshers,comprehensive python workshop,python using jupyter notebook,python,python for java professionals,database operations using python","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/Cc_zWN2u6F8/maxresdefault.jpg","https://www.youtube.com/watch?v=Cc_zWN2u6F8","03 Common Operations - dict and tuple.mp4","2020-12-26","19","0","0","0","311"
"G79XqjTXm74","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - dict and tuple - 02 Overview of dict and tuple","python using jupyter lab,python using jupyter,python for beginners,python hands on,comprehensive python workshop,python using jupyter notebook,database operations using python,python,python lambda functions,python for java professionals,python for freshers,python collections,python tutorial,python workshop","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","27","Education","https://i.ytimg.com/vi/G79XqjTXm74/maxresdefault.jpg","https://www.youtube.com/watch?v=G79XqjTXm74","02 Overview of dict and tuple.mp4","2020-12-26","21","0","1","1","338"
"-7fS4iSiAAU","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - list and set - 06 Updating and Deleting elements   list","python for beginners,python using jupyter notebook,python workshop,python tutorial,comprehensive python workshop,python lambda functions,python for freshers,python hands on,python using jupyter lab,python,python using jupyter,database operations using python,python for java professionals,python collections","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner. 

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","28","Science & Technology","https://i.ytimg.com/vi/-7fS4iSiAAU/maxresdefault.jpg","https://www.youtube.com/watch?v=-7fS4iSiAAU","06 Updating and Deleting elements - list.mp4","2020-12-26","10","0","0","0","129"
"4hiDOB-qJ1U","UCakdSIPsJqiOLqylgoYmwQg","Mastering Python - Overview of Collections - list and set - 02 Overview of list and set","python collections,python tutorial,python workshop,python using jupyter lab,python lambda functions,python for freshers,python for java professionals,python for beginners,database operations using python,python,python using jupyter notebook,python hands on,comprehensive python workshop,python using jupyter","Feel free to access the complete material from https://python.itversity.com. You can also download each notebook from top right corner. 

Join this channel to get access to perks:
https://www.youtube.com/channel/UCakdSIPsJqiOLqylgoYmwQg/join","Public","2020-12-23","28","Science & Technology","https://i.ytimg.com/vi/4hiDOB-qJ1U/maxresdefault.jpg","https://www.youtube.com/watch?v=4hiDOB-qJ1U","02 Overview of list and set.mp4","2020-12-26","28","0","0","0","257"
